,,,,,,,by cancer type,,,,,gene set,,,,,,,
IFIT2,CD8.c15(ISG+ CD8+ T),1.60 ,3.15E-47,9.03E-45,11,41.36%,13,0.87 ,15,2.66 ,2.00E-150,,,,,,,,
HERC5,CD8.c15(ISG+ CD8+ T),1.51 ,2.04E-69,1.60E-66,12,54.68%,15,1.00 ,15,2.26 ,7.16E-110,,,,,TRUE,,,
USP18,CD8.c15(ISG+ CD8+ T),1.49 ,1.29E-36,2.02E-34,13,43.51%,15,1.00 ,15,2.16 ,5.61E-66,,,,,,TRUE,,TRUE
MX2,CD8.c15(ISG+ CD8+ T),1.47 ,8.25E-53,3.04E-50,14,62.45%,15,1.00 ,15,2.16 ,0.00E+00,,,,,,,,
IFI44,CD8.c15(ISG+ CD8+ T),1.38 ,4.84E-50,1.58E-47,15,54.90%,15,1.00 ,15,1.87 ,9.96E-23,,,,,,,,
LAMP3,CD8.c15(ISG+ CD8+ T),1.32 ,1.36E-21,8.38E-20,16,25.11%,13,0.87 ,15,2.87 ,1.83E-115,,,,,TRUE,,,
XAF1,CD8.c15(ISG+ CD8+ T),1.31 ,2.28E-29,2.23E-27,17,70.31%,15,1.00 ,15,2.13 ,0.00E+00,,,,,,,,
EPSTI1,CD8.c15(ISG+ CD8+ T),1.29 ,1.92E-45,5.01E-43,18,69.07%,15,1.00 ,15,1.90 ,0.00E+00,,,,,TRUE,,,
EIF2AK2,CD8.c15(ISG+ CD8+ T),1.27 ,8.06E-36,1.17E-33,19,70.13%,15,1.00 ,15,1.99 ,0.00E+00,,TRUE,,,,TRUE,,
PLSCR1,CD8.c15(ISG+ CD8+ T),1.27 ,3.96E-43,8.32E-41,20,68.19%,14,0.93 ,15,2.13 ,0.00E+00,TRUE,,,,,,,
STAT1,CD8.c15(ISG+ CD8+ T),1.23 ,4.65E-44,1.09E-41,21,75.69%,15,1.00 ,15,1.93 ,0.00E+00,TRUE,,,,,,,
LY6E,CD8.c15(ISG+ CD8+ T),1.20 ,2.28E-36,3.53E-34,22,85.48%,15,1.00 ,15,1.92 ,1.51E-119,,,,,TRUE,,,
LGALS9,CD8.c15(ISG+ CD8+ T),1.20 ,3.83E-32,4.38E-30,23,49.54%,15,1.00 ,15,1.98 ,0.00E+00,,,,TRUE,,,,
SAMD9L,CD8.c15(ISG+ CD8+ T),1.17 ,3.07E-66,2.01E-63,24,63.83%,15,1.00 ,15,1.71 ,0.00E+00,,,,,,,,
IFI35,CD8.c15(ISG+ CD8+ T),1.15 ,5.91E-39,1.02E-36,25,65.69%,13,0.87 ,15,1.84 ,0.00E+00,,,,,,,,
IRF7,CD8.c15(ISG+ CD8+ T),1.13 ,2.19E-57,1.03E-54,26,70.16%,15,1.00 ,15,1.70 ,0.00E+00,TRUE,,,,,,,
ISG20,CD8.c15(ISG+ CD8+ T),1.11 ,1.70E-87,4.01E-84,27,85.03%,15,1.00 ,15,1.60 ,4.04E-55,,,,,,TRUE,,
OAS2,CD8.c15(ISG+ CD8+ T),1.08 ,1.99E-27,1.72E-25,28,51.43%,13,0.87 ,15,1.74 ,0.00E+00,,,,,,TRUE,,
PARP9,CD8.c15(ISG+ CD8+ T),1.07 ,2.61E-40,4.89E-38,29,53.60%,15,1.00 ,15,1.58 ,0.00E+00,,,,,,TRUE,,TRUE
GBP1,CD8.c15(ISG+ CD8+ T),1.02 ,9.89E-45,2.43E-42,30,57.10%,15,1.00 ,15,1.56 ,2.47E-04,,,,,,,,
IFITM1,CD8.c15(ISG+ CD8+ T),1.00 ,4.49E-24,3.08E-22,31,80.46%,14,0.93 ,15,1.71 ,0.00E+00,,,,,TRUE,,,
TRIM22,CD8.c15(ISG+ CD8+ T),0.99 ,1.37E-57,6.74E-55,32,73.54%,15,1.00 ,15,1.42 ,0.00E+00,,,,,,TRUE,,
OASL,CD8.c15(ISG+ CD8+ T),0.97 ,6.66E-42,1.33E-39,33,70.12%,13,0.87 ,15,1.58 ,0.00E+00,,,,,,,,
SAMD9,CD8.c15(ISG+ CD8+ T),0.91 ,1.61E-152,9.50E-149,34,60.35%,14,0.93 ,15,1.10 ,5.21E-17,,,,,,,,
BST2,CD8.c15(ISG+ CD8+ T),0.91 ,2.16E-45,5.53E-43,35,74.28%,15,1.00 ,15,1.39 ,0.00E+00,,,,,TRUE,,,
IFIH1,CD8.c15(ISG+ CD8+ T),0.90 ,5.65E-44,1.29E-41,36,35.77%,15,1.00 ,15,1.44 ,0.00E+00,,,,,,TRUE,,TRUE
UBE2L6,CD8.c15(ISG+ CD8+ T),0.89 ,8.50E-39,1.45E-36,37,73.84%,14,0.93 ,15,1.48 ,0.00E+00,,,,,,TRUE,,
DDX60,CD8.c15(ISG+ CD8+ T),0.87 ,2.35E-29,2.29E-27,38,40.98%,15,1.00 ,15,1.43 ,0.00E+00,,,,,,TRUE,,
LAP3,CD8.c15(ISG+ CD8+ T),0.84 ,2.25E-54,9.15E-52,39,56.63%,13,0.87 ,15,1.18 ,3.22E-282,,,,,,TRUE,,
DDX60L,CD8.c15(ISG+ CD8+ T),0.84 ,6.15E-54,2.41E-51,40,40.38%,13,0.87 ,15,1.43 ,6.25E-29,,,,,,TRUE,,
DDX58,CD8.c15(ISG+ CD8+ T),0.83 ,8.05E-62,4.51E-59,41,40.74%,14,0.93 ,15,1.17 ,8.24E-280,,,,,,TRUE,,TRUE
HELZ2,CD8.c15(ISG+ CD8+ T),0.82 ,2.35E-35,3.37E-33,42,34.25%,14,0.93 ,15,1.30 ,0.00E+00,,,,,,,,
CD38,CD8.c15(ISG+ CD8+ T),0.81 ,2.12E-64,1.32E-61,43,47.05%,13,0.87 ,15,1.21 ,5.01E-31,,,,,,TRUE,,
PARP14,CD8.c15(ISG+ CD8+ T),0.79 ,6.59E-76,6.47E-73,44,50.06%,15,1.00 ,15,1.10 ,1.85E-39,,,,,,TRUE,,
HERC6,CD8.c15(ISG+ CD8+ T),0.79 ,1.49E-22,9.61E-21,45,25.11%,13,0.87 ,15,1.25 ,4.14707487828982e-317,,,,,TRUE,TRUE,,
PNPT1,CD8.c15(ISG+ CD8+ T),0.76 ,7.00E-77,7.80E-74,46,29.90%,13,0.87 ,15,1.00 ,3.14E-71,,,,,,TRUE,,TRUE
STAT2,CD8.c15(ISG+ CD8+ T),0.76 ,8.70E-56,3.80E-53,47,32.39%,13,0.87 ,15,1.00 ,1.41E-65,TRUE,,,,,,,
HSH2D,CD8.c15(ISG+ CD8+ T),0.75 ,1.11E-37,1.79E-35,48,39.74%,13,0.87 ,15,1.29 ,0.00E+00,,,,,,,,
RTP4,CD8.c15(ISG+ CD8+ T),0.75 ,7.04E-38,1.15E-35,49,24.75%,13,0.87 ,15,1.24 ,1.89E-21,,,,,TRUE,,,
MT2A,CD8.c15(ISG+ CD8+ T),0.74 ,8.57E-23,5.64E-21,50,72.45%,11,0.73 ,15,1.44 ,0.00E+00,,,,,,,,
IFIT5,CD8.c15(ISG+ CD8+ T),0.74 ,4.40E-29,4.21E-27,51,30.17%,13,0.87 ,15,1.14 ,3.50E-267,,,,,,,,
NT5C3A,CD8.c15(ISG+ CD8+ T),0.73 ,1.10E-43,2.45E-41,52,51.16%,13,0.87 ,15,0.96 ,1.17E-08,,,,,,TRUE,,TRUE
RNF213,CD8.c15(ISG+ CD8+ T),0.73 ,7.37E-86,1.24E-82,53,69.10%,15,1.00 ,15,1.03 ,1.29E-34,,,,,TRUE,TRUE,,TRUE
ZBP1,CD8.c15(ISG+ CD8+ T),0.73 ,1.45E-54,6.09E-52,54,43.40%,12,0.80 ,15,1.01 ,3.29E-10,,,,,,,,
TNFSF10,CD8.c15(ISG+ CD8+ T),0.71 ,8.38E-48,2.47E-45,55,48.77%,12,0.80 ,15,1.04 ,1.25E-222,,,,TRUE,TRUE,,,
LAG3,CD8.c15(ISG+ CD8+ T),0.71 ,1.62E-30,1.66E-28,56,65.34%,14,0.93 ,15,1.06 ,1.16E-230,,,,TRUE,TRUE,,,
SP100,CD8.c15(ISG+ CD8+ T),0.70 ,7.51E-63,4.42E-60,57,72.25%,13,0.87 ,15,0.96 ,7.39E-190,TRUE,,,,,,,
TYMP,CD8.c15(ISG+ CD8+ T),0.69 ,3.31E-26,2.60E-24,58,52.99%,14,0.93 ,15,1.10 ,2.53E-247,,,,,,TRUE,TRUE,
IFI16,CD8.c15(ISG+ CD8+ T),0.69 ,6.14E-181,7.23E-177,59,72.57%,14,0.93 ,15,0.85 ,9.30E-117,TRUE,,TRUE,,,,,
C19orf66,CD8.c15(ISG+ CD8+ T),0.67 ,5.90E-38,9.78E-36,60,56.65%,12,0.80 ,15,1.00 ,2.85E-205,,,,,,,,
DRAP1,CD8.c15(ISG+ CD8+ T),0.67 ,2.18E-32,2.57E-30,61,70.91%,13,0.87 ,15,1.16 ,1.13E-273,TRUE,,,,,,,
SP110,CD8.c15(ISG+ CD8+ T),0.65 ,7.29E-77,7.80E-74,62,56.13%,14,0.93 ,15,0.92 ,3.68E-61,TRUE,,,,,,,
SPATS2L,CD8.c15(ISG+ CD8+ T),0.63 ,1.23E-32,1.46E-30,63,32.22%,14,0.93 ,15,0.89 ,1.62E-162,,,,,,,,
GBP4,CD8.c15(ISG+ CD8+ T),0.63 ,3.64E-47,1.02E-44,64,41.36%,13,0.87 ,15,1.00 ,7.01E-05,,,,,,,,
PPM1K,CD8.c15(ISG+ CD8+ T),0.63 ,9.59E-61,5.13E-58,65,55.83%,12,0.80 ,15,0.99 ,1.02E-20,,,,,,TRUE,,TRUE
IFI27,CD8.c15(ISG+ CD8+ T),0.63 ,3.55E-05,4.41E-04,66,20.90%,10,0.67 ,15,2.19 ,0.00E+00,,,,,TRUE,,,
ADAR,CD8.c15(ISG+ CD8+ T),0.63 ,1.38E-42,2.86E-40,67,61.60%,13,0.87 ,15,0.90 ,1.25E-167,,,TRUE,,,TRUE,,TRUE
DTX3L,CD8.c15(ISG+ CD8+ T),0.63 ,1.27E-34,1.69E-32,68,36.84%,14,0.93 ,15,0.96 ,1.93E-189,,,,,,TRUE,,
PARP12,CD8.c15(ISG+ CD8+ T),0.61 ,3.99E-28,3.54E-26,69,32.13%,11,0.73 ,15,0.97 ,4.85E-194,,,,,,TRUE,,
PARP10,CD8.c15(ISG+ CD8+ T),0.60 ,8.48E-52,2.85E-49,70,39.94%,13,0.87 ,15,0.96 ,7.74E-20,,,,,,TRUE,,
PHF11,CD8.c15(ISG+ CD8+ T),0.59 ,1.20E-43,2.61E-41,71,53.01%,14,0.93 ,15,0.84 ,8.33E-23,,,,,,,,
IFITM3,CD8.c15(ISG+ CD8+ T),0.59 ,2.77E-11,8.34E-10,72,45.32%,14,0.93 ,15,1.32 ,0.00E+00,,,,,TRUE,,,
PSMB9,CD8.c15(ISG+ CD8+ T),0.59 ,1.51E-26,1.23E-24,73,68.43%,14,0.93 ,15,0.98 ,6.29E-198,,,,,,TRUE,TRUE,
TAP1,CD8.c15(ISG+ CD8+ T),0.57 ,5.45E-40,9.87E-38,74,66.84%,13,0.87 ,15,0.90 ,1.31E-165,,,,,TRUE,,,TRUE
AKAP2,CD8.c15(ISG+ CD8+ T),0.57 ,1.32E-16,6.12E-15,75,19.94%,9,0.60 ,15,0.85 ,4.44E-15,,,,,,,,
SAT1,CD8.c15(ISG+ CD8+ T),0.56 ,1.68E-42,3.41E-40,76,63.09%,12,0.80 ,15,0.95 ,4.43E-19,,,,,,TRUE,,TRUE
B2M,CD8.c15(ISG+ CD8+ T),0.54 ,2.42E-18,1.26E-16,77,59.18%,13,0.87 ,15,0.99 ,1.86E-199,,,,,,,,
NMI,CD8.c15(ISG+ CD8+ T),0.54 ,2.17E-53,8.24E-51,78,40.01%,11,0.73 ,15,0.85 ,4.30E-147,,,,,,,,
CHMP5,CD8.c15(ISG+ CD8+ T),0.53 ,3.59E-31,3.84E-29,79,47.70%,13,0.87 ,15,0.84 ,2.42E-47,,,,,,,,
IFITM2,CD8.c15(ISG+ CD8+ T),0.52 ,5.35E-38,9.00E-36,80,66.64%,13,0.87 ,15,0.87 ,1.96E-10,,,,,TRUE,,,
PML,CD8.c15(ISG+ CD8+ T),0.52 ,3.52E-35,4.94E-33,81,33.75%,12,0.80 ,15,0.85 ,4.20E-147,,,,,,,,
GBP5,CD8.c15(ISG+ CD8+ T),0.52 ,5.76E-48,1.79E-45,82,55.21%,14,0.93 ,15,1.14 ,6.75E-26,,,,,,,,
ZNFX1,CD8.c15(ISG+ CD8+ T),0.52 ,2.87E-34,3.76E-32,83,40.08%,11,0.73 ,15,0.84 ,9.01E-145,TRUE,,TRUE,,,,,
ETV7,CD8.c15(ISG+ CD8+ T),0.50 ,3.54E-37,5.63E-35,84,14.98%,11,0.73 ,15,1.09 ,1.02E-25,TRUE,,,,,,,
APOL6,CD8.c15(ISG+ CD8+ T),0.49 ,6.23E-60,3.19E-57,85,47.45%,11,0.73 ,15,0.68 ,2.61E-05,,,,,TRUE,,,
CARD16,CD8.c15(ISG+ CD8+ T),0.49 ,3.07E-52,1.06E-49,86,56.18%,12,0.80 ,15,0.77 ,2.30E-42,,,,,,,,
NUB1,CD8.c15(ISG+ CD8+ T),0.48 ,1.18E-48,3.75E-46,87,44.39%,11,0.73 ,15,0.70 ,1.54E-21,,,,,,,,
HAPLN3,CD8.c15(ISG+ CD8+ T),0.48 ,1.64E-31,1.77E-29,88,14.54%,15,1.00 ,15,0.86 ,7.41E-15,,,,TRUE,TRUE,,,
TRANK1,CD8.c15(ISG+ CD8+ T),0.48 ,1.12E-77,1.64E-74,89,33.62%,13,0.87 ,15,0.63 ,8.66E-13,,,,,,,,
TRIM25,CD8.c15(ISG+ CD8+ T),0.47 ,4.94E-21,2.94E-19,90,21.08%,11,0.73 ,15,0.76 ,2.44E-118,,,,,,TRUE,,
CNP,CD8.c15(ISG+ CD8+ T),0.47 ,1.63E-77,2.14E-74,91,26.01%,13,0.87 ,15,0.67 ,1.50E-93,,,,,,TRUE,,
C5orf56,CD8.c15(ISG+ CD8+ T),0.47 ,8.46E-35,1.14E-32,92,47.45%,12,0.80 ,15,0.72 ,9.96E-106,,,,,,,,
RBCK1,CD8.c15(ISG+ CD8+ T),0.46 ,1.26E-40,2.44E-38,93,52.65%,11,0.73 ,15,0.65 ,1.98E-28,,,,,,TRUE,,TRUE
TMEM140,CD8.c15(ISG+ CD8+ T),0.46 ,8.28E-48,2.47E-45,94,28.23%,9,0.60 ,15,0.61 ,3.67E-77,,,,,TRUE,,,
FBXO6,CD8.c15(ISG+ CD8+ T),0.46 ,2.41E-43,5.17E-41,95,23.11%,13,0.87 ,15,0.80 ,1.67E-08,,,,,,,,
DHX58,CD8.c15(ISG+ CD8+ T),0.46 ,4.06E-25,2.97E-23,96,13.79%,12,0.80 ,15,0.76 ,1.01E-38,,,,,,TRUE,,
CHST12,CD8.c15(ISG+ CD8+ T),0.45 ,3.13E-45,7.84E-43,97,56.30%,12,0.80 ,15,0.67 ,3.58E-14,,,,,TRUE,TRUE,,
TRAFD1,CD8.c15(ISG+ CD8+ T),0.45 ,4.75E-69,3.50E-66,98,27.81%,13,0.87 ,15,0.63 ,5.89E-08,,,,,,,,
RARRES3,CD8.c15(ISG+ CD8+ T),0.43 ,3.25E-32,3.75E-30,99,63.84%,10,0.67 ,15,0.71 ,3.30E-36,,,,,TRUE,,,
XRN1,CD8.c15(ISG+ CD8+ T),0.43 ,5.28E-96,1.55E-92,100,41.11%,11,0.73 ,15,0.63 ,2.87E-08,,,,,,,,
PSME2,CD8.c15(ISG+ CD8+ T),0.43 ,1.84E-13,6.62E-12,101,61.32%,13,0.87 ,15,0.81 ,1.46E-135,,,,,,,,
CASP1,CD8.c15(ISG+ CD8+ T),0.42 ,5.70E-44,1.29E-41,102,43.37%,13,0.87 ,15,0.64 ,1.54E-29,,,,,,TRUE,,
PSMB8,CD8.c15(ISG+ CD8+ T),0.42 ,1.37E-28,1.28E-26,103,63.04%,11,0.73 ,15,0.65 ,3.34E-30,,,,,,TRUE,TRUE,
BCL2L14,CD8.c15(ISG+ CD8+ T),0.42 ,1.67E-14,6.50E-13,104,2.87%,9,0.60 ,15,0.99 ,1.10E-13,,,,,,,,
SHISA5,CD8.c15(ISG+ CD8+ T),0.41 ,6.30E-27,5.22E-25,105,60.15%,12,0.80 ,15,0.73 ,4.86E-110,,,,,TRUE,,,
ODF3B,CD8.c15(ISG+ CD8+ T),0.41 ,1.56E-10,4.27E-09,106,34.16%,8,0.53 ,15,1.03 ,1.53E-215,,,,,,,,
SLFN5,CD8.c15(ISG+ CD8+ T),0.41 ,6.28E-36,9.61E-34,107,48.85%,11,0.73 ,15,0.71 ,1.36E-07,,,,,,,,
SP140,CD8.c15(ISG+ CD8+ T),0.41 ,8.65E-126,3.39E-122,108,49.51%,11,0.73 ,15,0.53 ,1.64E-05,TRUE,,,,,,,
HLA-A,CD8.c15(ISG+ CD8+ T),0.41 ,4.58E-19,2.49E-17,109,56.38%,12,0.80 ,15,0.73 ,6.99E-109,,,,,TRUE,,,
TRIM21,CD8.c15(ISG+ CD8+ T),0.40 ,2.29E-25,1.72E-23,110,24.48%,9,0.60 ,15,0.62 ,2.44E-78,,,,,,TRUE,,
CCR1,CD8.c15(ISG+ CD8+ T),0.40 ,2.97E-28,2.67E-26,111,17.15%,10,0.67 ,15,0.86 ,4.67E-01,,,,,TRUE,,,
N4BP1,CD8.c15(ISG+ CD8+ T),0.40 ,2.75E-32,3.21E-30,112,31.67%,10,0.67 ,15,0.65 ,9.43E-87,,,,,,,,
HLA-C,CD8.c15(ISG+ CD8+ T),0.39 ,5.66E-18,2.86E-16,113,56.35%,10,0.67 ,15,0.87 ,8.79E-25,,,,,TRUE,,,
HLA-B,CD8.c15(ISG+ CD8+ T),0.37 ,3.16E-16,1.42E-14,114,54.11%,11,0.73 ,15,0.80 ,8.50E-21,,,,,TRUE,,,
SMCHD1,CD8.c15(ISG+ CD8+ T),0.37 ,4.65E-32,5.27E-30,115,56.68%,11,0.73 ,15,0.62 ,8.85E-05,,,TRUE,,,,,
NAPA,CD8.c15(ISG+ CD8+ T),0.37 ,5.81E-29,5.52E-27,116,54.15%,8,0.53 ,15,0.58 ,1.41E-70,,,,,,,,
HLA-E,CD8.c15(ISG+ CD8+ T),0.36 ,3.38E-19,1.84E-17,117,56.33%,11,0.73 ,15,0.65 ,1.47E-08,,,,,TRUE,,,
MOV10,CD8.c15(ISG+ CD8+ T),0.36 ,1.87E-26,1.49E-24,118,18.10%,10,0.67 ,15,0.67 ,6.91E-32,,,TRUE,,,TRUE,,
MYL12A,CD8.c15(ISG+ CD8+ T),0.34 ,1.32E-18,7.02E-17,119,61.53%,8,0.53 ,15,0.71 ,2.17E-33,,,,,,,,
NEXN,CD8.c15(ISG+ CD8+ T),0.34 ,2.08E-12,6.81E-11,120,3.02%,10,0.67 ,15,1.16 ,9.20E-19,,,,,,,,
GBP2,CD8.c15(ISG+ CD8+ T),0.34 ,1.76E-34,2.33E-32,121,47.25%,11,0.73 ,15,0.59 ,7.56E-07,,,,,,,,
ALOX5AP,CD8.c15(ISG+ CD8+ T),0.34 ,1.06E-14,4.25E-13,122,57.33%,9,0.60 ,15,0.63 ,2.60E-08,,,,,TRUE,,,
CD164,CD8.c15(ISG+ CD8+ T),0.34 ,4.95E-46,1.32E-43,123,56.69%,11,0.73 ,15,0.47 ,1.16E-14,,,,,TRUE,,,
TMEM123,CD8.c15(ISG+ CD8+ T),0.34 ,2.29E-14,8.82E-13,124,44.41%,8,0.53 ,15,0.75 ,4.42E-38,,,,,TRUE,,,
ENDOD1,CD8.c15(ISG+ CD8+ T),0.34 ,1.64E-25,1.24E-23,125,18.89%,8,0.53 ,15,0.48 ,2.17E-05,,,,TRUE,TRUE,,,
TMSB10,CD8.c15(ISG+ CD8+ T),0.33 ,8.00E-15,3.23E-13,126,56.49%,9,0.60 ,15,0.65 ,1.26E-28,,,,,,,,
WARS,CD8.c15(ISG+ CD8+ T),0.33 ,5.81E-11,1.69E-09,127,18.17%,8,0.53 ,15,0.80 ,1.25E-42,,,,,,TRUE,,TRUE
MYD88,CD8.c15(ISG+ CD8+ T),0.33 ,1.01E-23,6.81E-22,128,29.70%,9,0.60 ,15,0.58 ,4.18E-69,,,,,,,,
SLC38A5,CD8.c15(ISG+ CD8+ T),0.32 ,1.95E-26,1.54E-24,129,17.15%,8,0.53 ,15,0.56 ,6.85E-21,,,,,TRUE,,,
TRIM14,CD8.c15(ISG+ CD8+ T),0.32 ,1.98E-33,2.49E-31,130,21.48%,11,0.73 ,15,0.52 ,1.68E-08,,,,,,,,
HELB,CD8.c15(ISG+ CD8+ T),0.32 ,7.27E-40,1.30E-37,131,25.62%,10,0.67 ,15,0.45 ,2.10E-101,,,,,,TRUE,,
PRKD2,CD8.c15(ISG+ CD8+ T),0.32 ,3.17E-27,2.72E-25,132,28.80%,8,0.53 ,15,0.50 ,6.12E-05,,TRUE,,,,TRUE,,
PSME1,CD8.c15(ISG+ CD8+ T),0.32 ,1.30E-14,5.08E-13,133,57.72%,7,0.47 ,15,0.60 ,9.25E-05,,,,,,,,
RASGRP3,CD8.c15(ISG+ CD8+ T),0.32 ,1.52E-30,1.57E-28,134,7.02%,8,0.53 ,15,0.51 ,3.43E-17,,,,,,,,
TRIM38,CD8.c15(ISG+ CD8+ T),0.32 ,3.68E-35,5.10E-33,135,32.93%,11,0.73 ,15,0.50 ,1.23E-51,,,,,,TRUE,,
APOL1,CD8.c15(ISG+ CD8+ T),0.32 ,8.85E-27,7.29E-25,136,11.97%,10,0.67 ,15,0.48 ,5.58E-03,,,,TRUE,TRUE,,,
ODF2L,CD8.c15(ISG+ CD8+ T),0.31 ,5.61E-86,1.10E-82,137,38.16%,8,0.53 ,15,0.39 ,3.57E-15,,,,,,,,
DYNLT1,CD8.c15(ISG+ CD8+ T),0.31 ,1.45E-20,8.50E-19,138,46.75%,8,0.53 ,15,0.47 ,1.60E-01,,,,,,,,
TMSB4X,CD8.c15(ISG+ CD8+ T),0.31 ,1.60E-10,4.37E-09,139,53.39%,7,0.47 ,15,0.69 ,5.60E-97,,,,,,,,
TANK,CD8.c15(ISG+ CD8+ T),0.31 ,3.94E-34,5.05E-32,140,45.69%,8,0.53 ,15,0.45 ,2.01E-13,,,,,,,,
ECE1,CD8.c15(ISG+ CD8+ T),0.31 ,7.93E-21,4.69E-19,141,22.09%,8,0.53 ,15,0.50 ,1.58E-52,,,,,TRUE,TRUE,,TRUE
APOL2,CD8.c15(ISG+ CD8+ T),0.30 ,3.36E-26,2.62E-24,142,17.27%,9,0.60 ,15,0.74 ,1.78E-07,,,,,TRUE,,,
TDRD7,CD8.c15(ISG+ CD8+ T),0.30 ,5.52E-18,2.80E-16,143,8.02%,9,0.60 ,15,0.77 ,1.17E-12,,,,,,,,
PSMB10,CD8.c15(ISG+ CD8+ T),0.30 ,1.11E-16,5.20E-15,144,53.97%,8,0.53 ,15,0.55 ,1.34E-62,,,,,,TRUE,TRUE,
AZI2,CD8.c15(ISG+ CD8+ T),0.30 ,1.77E-33,2.24E-31,145,25.96%,9,0.60 ,15,0.48 ,1.88E-15,,,,,,,,
COX5A,CD8.c15(ISG+ CD8+ T),0.30 ,2.43E-13,8.70E-12,146,56.49%,7,0.47 ,15,0.74 ,2.08E-36,,,,,,,,TRUE
PI4K2B,CD8.c15(ISG+ CD8+ T),0.29 ,8.91E-15,3.59E-13,147,12.69%,8,0.53 ,15,0.48 ,7.67E-01,,TRUE,,,,TRUE,,
USP15,CD8.c15(ISG+ CD8+ T),0.29 ,2.41E-72,2.02E-69,148,49.52%,8,0.53 ,15,0.39 ,4.06E-10,,,,,,TRUE,,
IRF9,CD8.c15(ISG+ CD8+ T),0.29 ,4.82E-16,2.12E-14,149,20.50%,9,0.60 ,15,0.51 ,2.44E-08,TRUE,,,,,,,
PTMS,CD8.c15(ISG+ CD8+ T),0.29 ,8.81E-11,2.51E-09,150,39.23%,7,0.47 ,15,0.57 ,2.50E-23,,,,,,,,
CMTR1,CD8.c15(ISG+ CD8+ T),0.29 ,1.69E-26,1.36E-24,151,16.76%,10,0.67 ,15,0.48 ,7.88E-03,,,,,,TRUE,,
CD74,CD8.c15(ISG+ CD8+ T),0.29 ,8.71E-12,2.69E-10,152,52.85%,7,0.47 ,15,0.57 ,3.24E-10,,,,,TRUE,,,
GNG5,CD8.c15(ISG+ CD8+ T),0.29 ,1.27E-14,5.01E-13,153,56.62%,9,0.60 ,15,0.56 ,5.13E-64,,,,,,,,
ELF1,CD8.c15(ISG+ CD8+ T),0.28 ,7.64E-30,7.69E-28,154,55.09%,7,0.47 ,15,0.59 ,2.88E-07,TRUE,,,,,,,
PPP1CC,CD8.c15(ISG+ CD8+ T),0.28 ,1.71E-29,1.69E-27,155,45.85%,9,0.60 ,15,0.46 ,3.59E-04,,,,,,TRUE,,
RGS1,CD8.c15(ISG+ CD8+ T),0.28 ,1.17E-28,1.10E-26,156,54.56%,7,0.47 ,15,0.50 ,5.39E-05,,,,,,,,
EHD4,CD8.c15(ISG+ CD8+ T),0.28 ,4.00E-28,3.54E-26,157,18.69%,7,0.47 ,15,0.45 ,9.47E-16,,,,,,,,
LGALS3BP,CD8.c15(ISG+ CD8+ T),0.28 ,2.20E-15,9.26E-14,158,11.63%,9,0.60 ,15,0.54 ,5.02E-09,,,,TRUE,,,,
SAMHD1,CD8.c15(ISG+ CD8+ T),0.28 ,2.75E-28,2.49E-26,159,37.19%,9,0.60 ,15,0.47 ,4.63E-07,,,,,,,,
GSDMD,CD8.c15(ISG+ CD8+ T),0.28 ,1.05E-24,7.52E-23,160,34.72%,9,0.60 ,15,0.48 ,2.86E-07,,,,,,,,
LPIN2,CD8.c15(ISG+ CD8+ T),0.27 ,7.29E-74,6.60E-71,161,34.67%,8,0.53 ,15,0.36 ,8.20E-10,,,,,,TRUE,,TRUE
CD48,CD8.c15(ISG+ CD8+ T),0.27 ,4.78E-33,5.92E-31,162,55.73%,8,0.53 ,15,0.40 ,1.74E-16,,,,,TRUE,,,
SLFN12L,CD8.c15(ISG+ CD8+ T),0.27 ,9.64E-53,3.44E-50,163,34.27%,8,0.53 ,15,0.44 ,8.37E-04,,,,,TRUE,,,
GIMAP4,CD8.c15(ISG+ CD8+ T),0.27 ,4.30E-17,2.05E-15,164,50.01%,9,0.60 ,15,0.48 ,1.55E-04,,,,,,,,
IDH2,CD8.c15(ISG+ CD8+ T),0.27 ,2.61E-19,1.44E-17,165,51.32%,8,0.53 ,15,0.47 ,1.70E-46,,,,,,TRUE,TRUE,
GBP3,CD8.c15(ISG+ CD8+ T),0.27 ,3.56E-40,6.55E-38,166,20.87%,9,0.60 ,15,0.56 ,3.44E-06,,,,,,,,
TRIM5,CD8.c15(ISG+ CD8+ T),0.27 ,9.54E-13,3.25E-11,167,14.32%,8,0.53 ,15,0.48 ,3.28E-47,,,,,,TRUE,,
OGFR,CD8.c15(ISG+ CD8+ T),0.26 ,4.27E-16,1.90E-14,168,33.21%,8,0.53 ,15,0.52 ,7.34E-56,,,,,,,,
EVL,CD8.c15(ISG+ CD8+ T),0.26 ,9.12E-33,1.10E-30,169,56.89%,8,0.53 ,15,0.46 ,3.70E-14,,,,,,,,
PSMA5,CD8.c15(ISG+ CD8+ T),0.26 ,8.79E-19,4.70E-17,170,51.26%,8,0.53 ,15,0.54 ,8.53E-04,,,,,,TRUE,,
WIPF1,CD8.c15(ISG+ CD8+ T),0.26 ,2.04E-24,1.45E-22,171,54.39%,9,0.60 ,15,0.59 ,7.79E-07,,,,,,,,
C4orf3,CD8.c15(ISG+ CD8+ T),0.26 ,8.16E-13,2.82E-11,172,54.06%,7,0.47 ,15,0.52 ,1.84E-08,,,,,TRUE,,,
